contest,time,judged
2022-03-paladin,5:00:00,yes
2022-03-sublime,4:00:00,yes
2022-04-axelar,4:00:00,yes
2022-04-phuture,3:00:00,yes
2022-05-aura,7:33:54,yes
2022-05-backd,4:13:21,yes
2022-05-cally,11:17:01,yes
2022-05-rubicon,16:04:24,yes
2022-05-runes,6:37:32,yes
2022-05-sturdy,00:30:00,yes
2022-05-vetoken,4:41:47,no
2022-06-amarok,0:27:00,no
2022-06-infinity,3:30:00,no
2022-06-nibbl,17:10:36,yes
2022-06-notional,25:33:39,yes
2022-06-putty,18:40:33,yes
2022-06-seaport,29:03:48,no
2022-06-yieldy,3:00:00,no
2022-07-ens,6:29:15,no
2022-07-fractional,26:02:42,no
2022-07-juicebox,0:45:09,no